"","V1"
"267","FBgn0040256"
"268","FBgn0040257"
"269","FBgn0040259"
"270","FBgn0051002"
"271","FBgn0016032"
"272","FBgn0029506"
"273","FBgn0029507"
"274","FBgn0029508"
"275","FBgn0033124"
"276","FBgn0033127"
"277","FBgn0033128"
"278","FBgn0033129"
"279","FBgn0033130"
"280","FBgn0033133"
"281","FBgn0033134"
"282","FBgn0033135"
"283","FBgn0033136"
"284","FBgn0033137"
"285","FBgn0033138"
"286","FBgn0033139"
"287","FBgn0042086"
"288","FBgn0050160"
"289","FBgn0015583"
"290","FBgn0031273"
"291","FBgn0031373"
"292","FBgn0031910"
"293","FBgn0033067"
"294","FBgn0038315"
"295","FBgn0040097"
"296","FBgn0040098"
"297","FBgn0040099"
"298","FBgn0040102"
"299","FBgn0040104"
"300","FBgn0040106"
"301","FBgn0040107"
"302","FBgn0040503"
"303","FBgn0053533"
"304","FBgn0259230"
"305","FBgn0264341"
"306","FBgn0015300"
"307","FBgn0044817"
"308","FBgn0053236"
"309","FBgn0053237"
"310","FBgn0053238"
"311","FBgn0053239"
"312","FBgn0053240"
"313","FBgn0053241"
"314","FBgn0053242"
"315","FBgn0053243"
"316","FBgn0053244"
"317","FBgn0053245"
"318","FBgn0053246"
"319","FBgn0053247"
"320","FBgn0085506"
"321","FBgn0259817"
"322","FBgn0000473"
"323","FBgn0013771"
"324","FBgn0013772"
"325","FBgn0013773"
"326","FBgn0015714"
"327","FBgn0031726"
"328","FBgn0033121"
"329","FBgn0033302"
"330","FBgn0033304"
"331","FBgn0033978"
"332","FBgn0033979"
"333","FBgn0033980"
"334","FBgn0033981"
"335","FBgn0033982"
"336","FBgn0039519"
"337","FBgn0035070"
"338","FBgn0037036"
"339","FBgn0037038"
"340","FBgn0037039"
"341","FBgn0039568"
"342","FBgn0040341"
"343","FBgn0052269"
"344","FBgn0052270"
"345","FBgn0052271"
"346","FBgn0052277"
"347","FBgn0053159"
"348","FBgn0053160"
"349","FBgn0083965"
"350","FBgn0083966"
"351","FBgn0000326"
"352","FBgn0015568"
"353","FBgn0015569"
"354","FBgn0015570"
"355","FBgn0015571"
"356","FBgn0015572"
"357","FBgn0015574"
"358","FBgn0015575"
"359","FBgn0015576"
"360","FBgn0015577"
"361","FBgn0034736"
"362","FBgn0039084"
"363","FBgn0261393"
"364","FBgn0030804"
"365","FBgn0032888"
"366","FBgn0038888"
"367","FBgn0051438"
"368","FBgn0053348"
"369","FBgn0066292"
"370","FBgn0066293"
"371","FBgn0067311"
"372","FBgn0067312"
"373","FBgn0261289"
"374","FBgn0261292"
"375","FBgn0261293"
"376","FBgn0261294"
"377","FBgn0010651"
"378","FBgn0033048"
"379","FBgn0033234"
"380","FBgn0034392"
"381","FBgn0034394"
"382","FBgn0034782"
"383","FBgn0034783"
"384","FBgn0034784"
"385","FBgn0034785"
"386","FBgn0039886"
"387","FBgn0050265"
"388","FBgn0050272"
"389","FBgn0023495"
"390","FBgn0031533"
"391","FBgn0032981"
"392","FBgn0033999"
"393","FBgn0036996"
"394","FBgn0038067"
"395","FBgn0038068"
"396","FBgn0038069"
"397","FBgn0038070"
"398","FBgn0042207"
"399","FBgn0051089"
"400","FBgn0051091"
"401","FBgn0028514"
"402","FBgn0028517"
"403","FBgn0028864"
"404","FBgn0031389"
"405","FBgn0031470"
"406","FBgn0031471"
"407","FBgn0032213"
"408","FBgn0032638"
