"","V1"
"355","TC002765"
"356","TC003422"
"357","TC003703"
"358","TC004054"
"359","TC004173"
"360","TC004247"
"361","TC004250"
"362","TC004307"
"363","TC005051"
"364","TC005110"
"365","TC005259"
"366","TC005280"
"367","TC006073"
"368","TC006137"
"369","TC006883"
"370","TC006997"
"371","TC007025"
"372","TC008510"
"373","TC009409"
"374","TC011490"
"375","TC011497"
"376","TC011576"
"377","TC012912"
"378","TC012948"
"379","TC012954"
"380","TC012988"
"381","TC016024"
"382","TC016095"
"383","TC016145"
"384","TC016236"
"385","TC032486"
"386","TC033485"
"387","TC000856"
"388","TC004818"
"389","TC007310"
"390","TC007311"
"391","TC007315"
"392","TC007316"
"393","TC007317"
"394","TC007320"
"395","TC007321"
"396","TC007322"
"397","TC010237"
"398","TC010238"
"399","TC010239"
"400","TC010244"
"401","TC010245"
"402","TC010251"
"403","TC010252"
"404","TC010253"
"405","TC010254"
"406","TC010255"
"407","TC010955"
"408","TC013433"
"409","TC014346"
"410","TC014361"
"411","TC015102"
"412","TC015103"
"413","TC015160"
"414","TC015546"
"415","TC015553"
"416","TC030961"
"417","TC031205"
"418","TC031413"
"419","TC031414"
"420","TC031667"
"421","TC031668"
"422","TC032503"
"423","TC032504"
"424","TC032833"
"425","TC033142"
"426","TC033365"
"427","TC033366"
"428","TC000004"
"429","TC000146"
"430","TC001838"
"431","TC002041"
"432","TC002178"
"433","TC002275"
"434","TC002325"
"435","TC002454"
"436","TC004189"
"437","TC004576"
"438","TC005248"
"439","TC006136"
"440","TC006925"
"441","TC006932"
"442","TC009407"
"443","TC010297"
"444","TC010310"
"445","TC010710"
"446","TC010711"
"447","TC010712"
"448","TC010713"
"449","TC010714"
"450","TC010973"
"451","TC011487"
"452","TC011578"
"453","TC014833"
"454","TC016139"
"455","TC016140"
"456","TC016155"
"457","TC016180"
"458","TC031484"
"459","TC031584"
"460","TC031588"
"461","TC033491"
"462","TC033885"
"463","TC033916"
"464","TC008570"
"465","TC009891"
"466","TC009892"
"467","TC010434"
"468","TC010962"
"469","TC011800"
"470","TC013749"
"471","TC013750"
"472","TC013751"
"473","TC013752"
"474","TC014089"
"475","TC014090"
"476","TC014091"
"477","TC014092"
"478","TC014379"
"479","TC014382"
"480","TC014383"
"481","TC014386"
"482","TC014403"
"483","TC014589"
"484","TC014775"
"485","TC014776"
"486","TC014880"
"487","TC015346"
"488","TC015423"
"489","TC031266"
"490","TC031307"
"491","TC033150"
"492","TC033151"
"493","TC033203"
"494","TC033390"
"495","TC033612"
"496","TC034098"
"497","TC002491"
"498","TC003855"
"499","TC030369"
"500","TC030371"
"501","TC030372"
"502","TC030373"
"503","TC030374"
"504","TC030375"
"505","TC030377"
"506","TC030378"
"507","TC030379"
"508","TC030380"
"509","TC030381"
"510","TC030382"
"511","TC030383"
"512","TC030384"
"513","TC030385"
"514","TC030386"
"515","TC030387"
"516","TC030388"
"517","TC030390"
"518","TC030392"
"519","TC030393"
"520","TC030394"
"521","TC030395"
"522","TC030396"
"523","TC030397"
"524","TC030398"
"525","TC030399"
"526","TC030400"
"527","TC030401"
"528","TC030960"
"529","TC000314"
"530","TC001484"
"531","TC001654"
"532","TC001660"
"533","TC001819"
"534","TC001826"
"535","TC001843"
"536","TC004082"
"537","TC004280"
"538","TC004413"
"539","TC005106"
"540","TC006882"
"541","TC007347"
"542","TC011217"
"543","TC011270"
"544","TC011568"
"545","TC012776"
"546","TC015306"
"547","TC016157"
"548","TC030895"
"549","TC031015"
"550","TC031169"
"551","TC031350"
"552","TC031690"
"553","TC031703"
"554","TC031714"
"555","TC031764"
"556","TC031788"
"557","TC031789"
"558","TC031904"
"559","TC034291"
"560","TC003780"
"561","TC006770"
"562","TC009104"
"563","TC011016"
"564","TC011018"
"565","TC011245"
"566","TC011465"
"567","TC030349"
"568","TC030350"
"569","TC030351"
"570","TC030352"
"571","TC030353"
"572","TC030354"
"573","TC030355"
"574","TC030356"
"575","TC030357"
"576","TC030358"
"577","TC030359"
"578","TC030360"
"579","TC030361"
"580","TC030362"
"581","TC030365"
"582","TC030366"
"583","TC030367"
"584","TC030368"
"585","TC030370"
"586","TC030389"
"587","TC030391"
"588","TC030442"
"589","TC030878"
"590","TC031444"
"591","TC010904"
"592","TC010908"
"593","TC010910"
"594","TC010927"
"595","TC010929"
"596","TC010930"
"597","TC010932"
"598","TC010933"
"599","TC010934"
"600","TC010935"
"601","TC010936"
"602","TC010937"
"603","TC010938"
"604","TC010939"
"605","TC010940"
"606","TC010959"
"607","TC012573"
"608","TC012574"
"609","TC012575"
"610","TC013421"
"611","TC014375"
"612","TC014391"
"613","TC033010"
"614","TC033011"
"615","TC033012"
"616","TC033014"
"617","TC033015"
"618","TC033016"
"619","TC033913"
"620","TC001645"
"621","TC002103"
"622","TC002104"
"623","TC004035"
"624","TC004266"
"625","TC004270"
"626","TC004340"
"627","TC010629"
"628","TC010630"
"629","TC010632"
"630","TC010633"
"631","TC011590"
"632","TC030934"
"633","TC030957"
"634","TC030966"
"635","TC031590"
"636","TC031912"
"637","TC031951"
"638","TC033287"
"639","TC033504"
"640","TC034211"
"641","TC034293"
"642","TC035004"
"643","TC004303"
"644","TC007924"
"645","TC011449"
"646","TC011879"
"647","TC011881"
"648","TC011882"
"649","TC012629"
"650","TC012630"
"651","TC012631"
"652","TC012632"
"653","TC012633"
"654","TC012634"
"655","TC012635"
"656","TC012636"
"657","TC015294"
"658","TC030321"
"659","TC030322"
"660","TC030323"
"661","TC030453"
"662","TC034413"
"663","TC034856"
"664","TC034857"
"665","TC034886"
"666","TC030179"
"667","TC030180"
"668","TC030181"
"669","TC030183"
"670","TC030186"
"671","TC030187"
"672","TC030209"
"673","TC030210"
"674","TC030211"
"675","TC030212"
"676","TC030213"
"677","TC030214"
"678","TC030215"
"679","TC030217"
"680","TC030240"
"681","TC030241"
"682","TC030242"
"683","TC030244"
"684","TC030251"
"685","TC030252"
"686","TC030254"
"687","TC032294"
"688","TC034666"
"689","TC001386"
"690","TC001391"
"691","TC001990"
"692","TC003635"
"693","TC004091"
"694","TC005015"
"695","TC005025"
"696","TC005258"
"697","TC007003"
"698","TC010212"
"699","TC010226"
"700","TC010691"
"701","TC010695"
"702","TC016332"
"703","TC031613"
"704","TC031614"
"705","TC031725"
"706","TC031847"
"707","TC031918"
"708","TC032970"
"709","TC034537"
"710","TC034897"
"711","TC000426"
"712","TC007342"
"713","TC008161"
"714","TC008162"
"715","TC008756"
"716","TC008757"
"717","TC009459"
"718","TC009805"
"719","TC010064"
"720","TC010066"
"721","TC010067"
"722","TC010068"
"723","TC010069"
"724","TC010070"
"725","TC011410"
"726","TC011411"
"727","TC011412"
"728","TC011668"
"729","TC030447"
"730","TC030448"
"731","TC030449"
"732","TC000502"
"733","TC003283"
"734","TC004464"
"735","TC005082"
"736","TC006600"
"737","TC006740"
"738","TC008325"
"739","TC008895"
"740","TC008901"
"741","TC010588"
"742","TC013427"
"743","TC013428"
"744","TC032019"
"745","TC032619"
"746","TC033498"
"747","TC033500"
"748","TC033501"
"749","TC033502"
"750","TC033791"
"751","TC033973"
"752","TC001481"
"753","TC001829"
"754","TC001841"
"755","TC001858"
"756","TC001911"
"757","TC002042"
"758","TC002327"
"759","TC004351"
"760","TC005040"
"761","TC005154"
"762","TC005195"
"763","TC005266"
"764","TC008335"
"765","TC008562"
"766","TC008809"
"767","TC010248"
"768","TC010620"
"769","TC010689"
"770","TC010986"
"771","TC031850"
"772","TC001644"
"773","TC001802"
"774","TC001836"
"775","TC010607"
"776","TC010628"
"777","TC012958"
"778","TC016162"
"779","TC031321"
"780","TC031589"
"781","TC031700"
"782","TC031733"
"783","TC031908"
"784","TC031913"
"785","TC031914"
"786","TC031948"
"787","TC031953"
"788","TC032007"
"789","TC034495"
"790","TC034965"
"791","TC034984"
"792","TC001856"
"793","TC003377"
"794","TC004040"
"795","TC004212"
"796","TC004265"
"797","TC004349"
